날짜,원달러_종가
2026/06/10,"1,524.20"
2026/06/11,"1,528.90"
2026/06/12,"1,519.80"
2026/06/15,"1,511.10"
2026/06/16,"1,511.60"
2026/06/17,"1,513.40"
2026/06/18,"1,527.10"
2026/06/19,"1,527.00"
2026/06/22,"1,537.00"
2026/06/23,"1,539.10"
2026/06/24,"1,541.80"
2026/06/25,"1,542.70"
2026/06/26,"1,532.00"
2026/06/29,"1,545.20"
2026/06/30,"1,549.40"
2026/07/01,"1,554.90"
2026/07/02,"1,555.80"
2026/07/03,"1,525.60"
2026/07/06,"1,530.30"
2026/07/07,"1,528.20"
2026/07/08,"1,498.50"
2026/07/09,"1,506.10"
2026/07/10,"1,501.40"
2026/07/13,"1,503.40"
2026/07/14,"1,493.00"
2026/07/15,"1,484.70"
2026/07/16,"1,480.40"
2026/07/20,"1,478.40"
2026/07/21,"1,473.40"
2026/07/22,"1,480.10"
2026/07/23,"1,466.80"
2026/07/24,"1,466.60"
