날짜,코스피_종가
2026/06/10,"7,730.82"
2026/06/11,"7,763.95"
2026/06/12,"8,123.62"
2026/06/15,"8,545.98"
2026/06/16,"8,726.60"
2026/06/17,"8,864.24"
2026/06/18,"9,063.84"
2026/06/19,"9,052.42"
2026/06/22,"9,114.55"
2026/06/23,"8,203.84"
2026/06/24,"8,471.02"
2026/06/25,"8,930.30"
2026/06/26,"8,411.21"
2026/06/29,"8,394.65"
2026/06/30,"8,476.48"
2026/07/01,"8,303.41"
2026/07/02,"7,648.09"
2026/07/03,"8,088.34"
2026/07/06,"8,051.33"
2026/07/07,"7,656.31"
2026/07/08,"7,246.79"
2026/07/09,"7,291.91"
2026/07/10,"7,475.94"
2026/07/13,"6,806.93"
2026/07/14,"6,856.83"
2026/07/15,"7,284.41"
2026/07/16,"6,820.60"
2026/07/20,"6,516.27"
2026/07/21,"6,747.95"
2026/07/22,"6,797.70"
2026/07/23,"7,096.89"
2026/07/24,"6,690.62"
