yadmNm,sidoCdNm,sgguCdNm,clCdNm,진료과목검색
가톨릭대학교 성빈센트병원,경기,수원팔달구,상급종합,소아청소년과
가톨릭대학교인천성모병원,인천,인천부평구,상급종합,소아청소년과
강릉아산병원,강원,강릉시,상급종합,소아청소년과
강북삼성병원,서울,종로구,상급종합,소아청소년과
건국대학교병원,서울,광진구,상급종합,소아청소년과
경북대학교병원,대구,대구중구,상급종합,소아청소년과
경상국립대학교병원,경남,진주시,상급종합,소아청소년과
경희대학교병원,서울,동대문구,상급종합,소아청소년과
계명대학교동산병원,대구,대구달서구,상급종합,소아청소년과
고려대학교의과대학부속구로병원,서울,구로구,상급종합,소아청소년과
고려대학교의과대학부속안산병원,경기,안산단원구,상급종합,소아청소년과
고신대학교복음병원,부산,부산서구,상급종합,소아청소년과
단국대학교의과대학부속병원,충남,천안동남구,상급종합,소아청소년과
대구가톨릭대학교병원,대구,대구남구,상급종합,소아청소년과
동아대학교병원,부산,부산서구,상급종합,소아청소년과
부산대학교병원,부산,부산서구,상급종합,소아청소년과
분당서울대학교병원,경기,성남분당구,상급종합,소아청소년과
삼성서울병원,서울,강남구,상급종합,소아청소년과
서울대학교병원,서울,종로구,상급종합,소아청소년과
순천향대학교부속부천병원,경기,부천원미구,상급종합,소아청소년과
아주대학교병원,경기,수원영통구,상급종합,소아청소년과
양산부산대학교병원,경남,양산시,상급종합,소아청소년과
연세대학교 원주세브란스기독병원,강원,원주시,상급종합,소아청소년과
연세대학교의과대학 강남세브란스병원,서울,강남구,상급종합,소아청소년과
연세대학교의과대학세브란스병원,서울,서대문구,상급종합,소아청소년과
영남대학교병원,대구,대구남구,상급종합,소아청소년과
원광대학교병원,전북,익산시,상급종합,소아청소년과
의료법인 길의료재단 길병원,인천,인천남동구,상급종합,소아청소년과
이화여자대학교의과대학부속목동병원,서울,양천구,상급종합,소아청소년과
인제대학교부산백병원,부산,부산진구,상급종합,소아청소년과
인하대학교의과대학부속병원,인천,인천제물포구,상급종합,소아청소년과
재단법인아산사회복지재단 서울아산병원,서울,송파구,상급종합,소아청소년과
전남대학교병원,전남광주,광주동구,상급종합,소아청소년과
전북대학교병원,전북,전주덕진구,상급종합,소아청소년과
조선대학교병원,전남광주,광주동구,상급종합,소아청소년과
중앙대학교병원,서울,동작구,상급종합,소아청소년과
충남대학교병원,대전,대전중구,상급종합,소아청소년과
충북대학교병원,충북,청주서원구,상급종합,소아청소년과
칠곡경북대학교병원,대구,대구북구,상급종합,소아청소년과
학교법인 건양교육재단 건양대학교병원,대전,대전서구,상급종합,소아청소년과
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),서울,성북구,상급종합,소아청소년과
학교법인 울산공업학원 울산대학교병원,울산,울산동구,상급종합,소아청소년과
학교법인가톨릭학원가톨릭대학교서울성모병원,서울,서초구,상급종합,소아청소년과
학교법인성균관대학삼성창원병원,경남,창원마산회원구,상급종합,소아청소년과
한림대학교성심병원,경기,안양동안구,상급종합,소아청소년과
한양대학교병원,서울,성동구,상급종합,소아청소년과
화순전남대학교병원,전남광주,화순군,상급종합,소아청소년과
(의)나사렛의료재단 나사렛국제병원,인천,인천연수구,종합병원,소아청소년과
(의)성세의료재단 뉴성민병원,인천,인천서해구,종합병원,소아청소년과
(의)영문의료재단 다보스병원,경기,용인처인구,종합병원,소아청소년과
KS병원,전남광주,광주광산구,종합병원,소아청소년과
가톨릭관동대학교 국제성모병원,인천,인천서해구,종합병원,소아청소년과
가톨릭대학교 여의도성모병원,서울,영등포구,종합병원,소아청소년과
가톨릭대학교 은평성모병원,서울,은평구,종합병원,소아청소년과
가톨릭대학교부천성모병원,경기,부천원미구,종합병원,소아청소년과
가톨릭대학교의정부성모병원,경기,의정부시,종합병원,소아청소년과
강남병원,경기,용인기흥구,종합병원,소아청소년과
강동경희대학교병원,서울,강동구,종합병원,소아청소년과
강원대학교병원,강원,춘천시,종합병원,소아청소년과
강원특별자치도강릉의료원,강원,강릉시,종합병원,소아청소년과
강원특별자치도삼척의료원,강원,삼척시,종합병원,소아청소년과
강원특별자치도속초의료원,강원,속초시,종합병원,소아청소년과
강원특별자치도영월의료원,강원,영월군,종합병원,소아청소년과
강원특별자치도원주의료원,강원,원주시,종합병원,소아청소년과
강일병원,경남,김해시,종합병원,소아청소년과
건국대학교 충주병원,충북,충주시,종합병원,소아청소년과
검단탑병원,인천,인천검단구,종합병원,소아청소년과
경기도의료원 수원병원,경기,수원장안구,종합병원,소아청소년과
경기도의료원 안성병원,경기,안성시,종합병원,소아청소년과
경기도의료원 이천병원,경기,이천시,종합병원,소아청소년과
경기도의료원의정부병원,경기,의정부시,종합병원,소아청소년과
경기도의료원파주병원,경기,파주시,종합병원,소아청소년과
경기도의료원포천병원,경기,포천시,종합병원,소아청소년과
경상남도마산의료원,경남,창원마산합포구,종합병원,소아청소년과
경상북도김천의료원,경북,김천시,종합병원,소아청소년과
경상북도안동의료원,경북,안동시,종합병원,소아청소년과
경상북도포항의료원,경북,포항북구,종합병원,소아청소년과
경찰병원,서울,송파구,종합병원,소아청소년과
계명대학교대구동산병원,대구,대구중구,종합병원,소아청소년과
곽병원,대구,대구중구,종합병원,소아청소년과
광명성애병원,경기,광명시,종합병원,소아청소년과
광양사랑병원,전남광주,광양시,종합병원,소아청소년과
광주기독병원,전남광주,광주남구,종합병원,소아청소년과
광주보훈병원,전남광주,광주광산구,종합병원,소아청소년과
광주센트럴병원,전남광주,광주광산구,종합병원,소아청소년과
광주수완병원,전남광주,광주광산구,종합병원,소아청소년과
광주씨티병원,전남광주,광주남구,종합병원,소아청소년과
광주일곡병원,전남광주,광주북구,종합병원,소아청소년과
광주한국병원,전남광주,광주서구,종합병원,소아청소년과
광주현대병원,전남광주,광주북구,종합병원,소아청소년과
광주희망병원,전남광주,광주북구,종합병원,소아청소년과
구미강동병원,경북,구미시,종합병원,소아청소년과
국군수도병원,경기,성남분당구,종합병원,소아청소년과
국립소방병원,충북,음성군,종합병원,소아청소년과
국립암센터,경기,고양일산동구,종합병원,소아청소년과
국립중앙의료원,서울,중구,종합병원,소아청소년과
국민건강보험공단일산병원,경기,고양일산동구,종합병원,소아청소년과
근로복지공단 창원병원,경남,창원성산구,종합병원,소아청소년과
근로복지공단 태백병원,강원,태백시,종합병원,소아청소년과
근로복지공단안산병원,경기,안산상록구,종합병원,소아청소년과
근로복지공단인천병원,인천,인천부평구,종합병원,소아청소년과
기쁨병원,서울,서초구,종합병원,소아청소년과
나사렛종합병원,대구,대구달서구,종합병원,소아청소년과
노원을지대학교병원,서울,노원구,종합병원,소아청소년과
녹색병원,서울,중랑구,종합병원,소아청소년과
당진종합병원,충남,당진시,종합병원,소아청소년과
대구굿모닝병원,대구,대구서구,종합병원,소아청소년과
대구의료원,대구,대구서구,종합병원,소아청소년과
대구파티마병원,대구,대구동구,종합병원,소아청소년과
대동병원,부산,부산동래구,종합병원,소아청소년과
대림성모병원,서울,영등포구,종합병원,소아청소년과
대아의료재단한도병원,경기,안산단원구,종합병원,소아청소년과
대자인병원,전북,전주덕진구,종합병원,소아청소년과
대전보훈병원,대전,대전대덕구,종합병원,소아청소년과
대전한국병원,대전,대전동구,종합병원,소아청소년과
대진의료재단 분당제생병원,경기,성남분당구,종합병원,소아청소년과
더블유병원,대구,대구달서구,종합병원,소아청소년과
동국대학교의과대학경주병원,경북,경주시,종합병원,소아청소년과
동국대학교일산불교병원,경기,고양일산동구,종합병원,소아청소년과
동남권원자력의학원원자력병원,부산,부산기장군,종합병원,소아청소년과
동래봉생병원,부산,부산동래구,종합병원,소아청소년과
드림종합병원,대구,대구남구,종합병원,소아청소년과
목포기독병원,전남광주,목포시,종합병원,소아청소년과
목포한국병원,전남광주,목포시,종합병원,소아청소년과
미래로21병원,전남광주,광주서구,종합병원,소아청소년과
미즈메디병원,서울,강서구,종합병원,소아청소년과
베데스다복음병원,경남,양산시,종합병원,소아청소년과
부민병원,서울,강서구,종합병원,소아청소년과
부산광역시의료원,부산,부산연제구,종합병원,소아청소년과
부산성모병원(재단법인 천주교부산교구유지재단),부산,부산남구,종합병원,소아청소년과
부안성모병원,전북,부안군,종합병원,소아청소년과
부천세종병원,경기,부천소사구,종합병원,소아청소년과
부평세림병원,인천,인천부평구,종합병원,소아청소년과
비에스길종합병원,부산,부산연제구,종합병원,소아청소년과
비에이치에스한서병원,부산,부산수영구,종합병원,소아청소년과
빌리브세웅병원,부산,부산동래구,종합병원,소아청소년과
빛가람종합병원,전남광주,나주시,종합병원,소아청소년과
빛고을전남대학교병원,전남광주,광주남구,종합병원,소아청소년과
삼육부산병원,부산,부산서구,종합병원,소아청소년과
삼육서울병원,서울,동대문구,종합병원,소아청소년과
삼일병원,대구,대구달서구,종합병원,소아청소년과
상무병원,전남광주,광주서구,종합병원,소아청소년과
상주적십자병원,경북,상주시,종합병원,소아청소년과
서광병원,전남광주,광주서구,종합병원,소아청소년과
서남대학교병원,전남광주,광주동구,종합병원,소아청소년과
서산중앙병원,충남,서산시,종합병원,소아청소년과
서울산보람병원,울산,울산울주군,종합병원,소아청소년과
서울성심병원,서울,동대문구,종합병원,소아청소년과
서울적십자병원,서울,종로구,종합병원,소아청소년과
서울특별시 동부병원,서울,동대문구,종합병원,소아청소년과
서울특별시보라매병원,서울,동작구,종합병원,소아청소년과
서울특별시서남병원,서울,양천구,종합병원,소아청소년과
서울특별시서울의료원,서울,중랑구,종합병원,소아청소년과
성가롤로병원,전남광주,순천시,종합병원,소아청소년과
성남시의료원,경기,성남수정구,종합병원,소아청소년과
성남중앙병원,경기,성남중원구,종합병원,소아청소년과
성심의료재단강동성심병원,서울,강동구,종합병원,소아청소년과
성애의료재단 성애병원,서울,영등포구,종합병원,소아청소년과
세란병원,서울,종로구,종합병원,소아청소년과
세종여주병원,경기,여주시,종합병원,소아청소년과
세종충남대학교병원,세종시,세종시,종합병원,소아청소년과
순천의료재단 성남정병원,경기,성남수정구,종합병원,소아청소년과
순천중앙병원,전남광주,순천시,종합병원,소아청소년과
순천향대학교 부속 구미병원,경북,구미시,종합병원,소아청소년과
순천향대학교 부속 서울병원,서울,용산구,종합병원,소아청소년과
순천향대학교부속 천안병원,충남,천안동남구,종합병원,소아청소년과
아산충무병원,충남,아산시,종합병원,소아청소년과
안동성소병원,경북,안동시,종합병원,소아청소년과
양산성모병원,경남,양산시,종합병원,소아청소년과
여수전남병원,전남광주,여수시,종합병원,소아청소년과
여천전남병원,전남광주,여수시,종합병원,소아청소년과
연세대학교 의과대학 용인세브란스병원,경기,용인기흥구,종합병원,소아청소년과
